Channel,PlaylistId,PublishedTime,Views,Subscribers,Videos
FAPTV,UU0jDoh3tVXCaqJ6oTve8ebA,2014-02-26T15:44:42Z,4870041141,13300000,567
ĐÔNG TÂY PROMOTION OFFICIAL,UUFMEYTv6N64hIL9FlQ_hxBw,2014-12-17T03:07:44Z,4867786232,8080000,7773
DIEN QUAN Comedy / Hài,UUwmurIyZ6FHyVPtKppe_2_A,2014-12-17T06:57:46Z,3941420767,5940000,4051
VTV Giải Trí Official,UUuJ5k3GndbHnXLYyiIR6Z8Q,2018-12-20T07:33:59Z,2075532878,2450000,8890
Vie Channel - HTV2,UUkna2OcuN1E6u5I8GVtdkOw,2012-06-04T08:47:14Z,4311560277,9860000,8593
